SUBDIVISIONS,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,FLOOD
Boudh,2022,37.19441417,3.018719969,3,11.57875634,81.83993192,212.5458236,441.14573,489.7480578,129.8785465,0,11.26144877,13.14086052,1434.35229,NO
Budaun,2022,29.6229293,29.7113998,3,4,44.5133361,19.49869809,103.336679,176.0602117,234.4124237,200.6388031,11.00940079,12.00317471,867.8070563,NO
Budgam,2022,118.2171113,102.5585705,38.12564602,53.064055,80.58515071,136.3361172,124.8689821,165.2587056,29.74596558,0,82.98669799,26.97221365,958.7192157,NO
Bulandshahr,2022,42.2682717,30.09117681,3.256909,4,33.37569061,15.62827541,126.8364822,127.3950005,162.5538759,178.3997965,11.00393866,12,746.8094173,NO
Buldhana,2022,2.10000649,2,3.036168402,4,5,113.6258418,282.773492,182.6730336,192.895124,71.7188989,11,12.63556452,883.4581297,NO
Bundi,2022,18.70106,2,7.647499264,4,16.2834875,126.4366856,340.338582,299.3674589,108.6832231,78.080863,11.00202362,12.00019077,1024.541074,NO
Burhanpur,2022,2.1143514,2,6.505123,4,6.73881,97.63598783,500.46373,254.6524601,277.3899928,125.571766,11,14.32924765,1302.401469,NO
Buxar,2022,16.5162186,12.8854499,3,4,25.69819764,96.5976559,122.0746012,170.4167291,237.2859298,61.2789577,11,12.03598573,772.7897256,NO
Cachar,2022,26.3758196,48.34355818,93.364644,291.6090329,652.8295651,777.426387,393.5666199,208.8307769,236.9179463,66.07707915,12.0978338,18.5306037,2825.969867,NO
Central,2022,52.07609,18.025359,3,4,40.1897651,27.007462,130.568695,73.54533785,224.5367449,93.692763,11.00676407,12.00003932,689.6490202,NO
Chamarajanagar,2022,0,0,0,0,0,0,0,0,0,91.908489,0,0,91.908489,NO
Chamarajanagara,2022,3.71586141,2.00418166,18.14062801,69.6333104,213.3489629,111.8374357,123.491103,273.1431796,94.840964,0,50.76796878,45.27502984,1006.198625,NO
Chamba,2022,192.1811296,78.1462987,13.58218061,12.55680564,89.65711862,84.17935521,385.679123,301.8160109,108.8822298,32.58032207,39.03957332,23.28704107,1361.587188,NO
Chamoli,2022,94.99896491,65.1425994,8.7634286,21.3035127,83.1934642,196.979189,477.71798,260.636443,122.6525597,116.1751225,32.44460505,13.59441832,1493.602287,NO
Champawat,2022,79.7209178,44.0779733,4.12009779,10.9538021,193.5068498,139.1740295,261.341364,260.2941384,225.9900152,222.8987098,11.38607348,12.00708009,1465.471051,NO
Champhai,2022,9.53614,53.8595508,19.010468,57.240003,292.749903,282.690758,303.5656717,210.3014937,104.775869,81.153439,11.47747797,14.63786488,1440.998639,NO
Chandauli,2022,11.2270263,11.3521565,3,4,17.0516255,90.80671254,121.854348,212.0330087,212.951717,67.18661508,11,12.07049516,774.5337048,NO
Chandel,2022,19.22278798,36.85906058,14.16876,129.0017119,313.0147868,294.1196914,135.8872325,248.883051,109.6123829,49.05396476,12.3101572,15.0133117,1377.146899,NO
Chandigarh,2022,206.7,39.6,3,4.4,38.1,81.4,439.3,118.3271401,201.8,50.1,11.003,12,1205.73014,NO
Chandrapur,2022,60.35033919,2.0843751,3.00910517,4.15294754,6.4083467,128.626204,709.0788,489.3813269,269.8943977,37.19693877,11.00008761,13.69591665,1734.878785,NO
Changlang,2022,46.9031434,61.2235805,68.693882,519.9635027,354.2103906,422.200118,272.427051,179.9781391,140.4549668,78.5775004,11.04479115,18.69987509,2174.376941,NO
Charaideo,2022,29.25401248,58.558582,49.73815298,458.3066935,353.9603814,531.41806,462.7942194,335.5749202,200.076726,121.12264,11.09997141,20.941463,2632.845822,NO
Charkhi Dadri,2022,0,0,0,0,0,0,0,0,0,48.66097952,0,0,48.66097952,NO
Charki Dadri,2022,67.4503433,10.446819,3,4.130954,35.8365656,63.99402123,181.1249545,105.1654489,82.77782867,0,15.34363911,12,581.2705743,NO
